Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2025 Bowman's Best Marcelo Mayer Showpieces RC Mini Diamond Refractor #BS-3,Active,08/22/2026 01:55:00 +00:00,08/27/2026 01:55:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/dr4AAeSwJm1qiMYD/$_1.JPG?set_id=8800005007
2025-26 Topps Victor Wembanyama Season Tip-Off #195 Spurs,Active,08/22/2026 01:53:20 +00:00,08/27/2026 01:53:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/Q60AAeSwvEZqiMY7/$_1.JPG?set_id=8800005007
2024-25 Topps Chrome UEFA Karim Adeyemi Orange Refractor #/25 Dortmund,Active,08/22/2026 01:51:40 +00:00,08/27/2026 01:51:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEx/z/kLkAAeSwva1qiMau/$_1.JPG?set_id=8800005007
2026 Topps Collector's Kit Exclusive Roman Anthony RC Rainbow Foil Rookie #MLB-2,Active,08/22/2026 01:50:00 +00:00,08/27/2026 01:50:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEx/z/cXwAAeSwHrZqiMY2/$_1.JPG?set_id=8800005007
2024-25 Panini Prizm Monopoly Stephon Castle RC Rookie #75 Spurs,Active,08/22/2026 01:48:20 +00:00,08/27/2026 01:48:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/a40AAeSwuTdqiMbi/$_1.JPG?set_id=8800005007
2024-25 Panini Prizm Stephon Castle RC Rookie #234 Spurs,Active,08/22/2026 01:46:40 +00:00,08/27/2026 01:46:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTkz/z/c7oAAeSwjh5qiMYy/$_1.JPG?set_id=8800005007
2021 Topps Now UEFA Cristiano Ronaldo #036 Man U,Active,08/22/2026 01:45:00 +00:00,08/27/2026 01:45:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA4/z/PA0AAeSwF5BqiMX1/$_1.JPG?set_id=8800005007
2023-24 Panini Select FIFA Dusan Vlahovic Gold Prizm #/10 Juventus,Active,08/22/2026 01:43:20 +00:00,08/27/2026 01:43:20 +00:00,False,$3.25,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTI1MFgxNjAw/z/ZKEAAeSwKVhqiMam/$_1.JPG?set_id=8800005007
2026 Bowman Felnin Celesten Chrome Prospects Reptilian Blue Refractor #/150,Active,08/22/2026 01:41:40 +00:00,08/27/2026 01:41:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjE3/z/Q30AAeSwVf1qiMYs/$_1.JPG?set_id=8800005007
2026 Topps Collector's Kit Exclusive Shohei Ohtani Wave Foil #MLB-1,Active,08/22/2026 01:40:00 +00:00,08/27/2026 01:40:00 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEw/z/NbwAAeSwpyFqiMZm/$_1.JPG?set_id=8800005007
2026 Bowman Tyler Bremner Chrome Prospects Aqua Shimmer Refractor #/125 Angels,Active,08/22/2026 01:38:20 +00:00,08/27/2026 01:38:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEx/z/dmgAAeSwWg9qiMbU/$_1.JPG?set_id=8800005007
2025 Bowman Charles McAdoo Chrome Reptilian Green Refractor 1st #/99 Blue Jays,Active,08/22/2026 01:36:40 +00:00,08/27/2026 01:36:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA3/z/jAUAAeSwZPBqiMac/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Quinten Post Auto Autograph #FAU-QP Warriors,Active,08/22/2026 01:35:00 +00:00,08/27/2026 01:35:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/NeMAAeSwC5xqiMaX/$_1.JPG?set_id=8800005007
2026 Bowman Mega Box Jac Caglianone Chrome RC Purple Mojo Refractor #/250 Royals,Active,08/22/2026 01:33:20 +00:00,08/27/2026 01:33:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEw/z/PvcAAeSww45qiMYf/$_1.JPG?set_id=8800005007
2024-25 Panini Donruss Optic Stephon Castle My House RC Purple Rookie #16 Spurs,Active,08/22/2026 01:31:40 +00:00,08/27/2026 01:31:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/ZTcAAeSw1nRqiMYd/$_1.JPG?set_id=8800005007
2025 Bowman's Best Cam Smith RC Purple Refractor Rookie #/250 Astros,Active,08/22/2026 01:30:00 +00:00,08/27/2026 01:30:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/ggQAAeSw0yNqiMZZ/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Zach Lavine Uncommon Sky Blue Refractor #/250 Kings,Active,08/22/2026 01:28:20 +00:00,08/27/2026 01:28:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk3/z/ujEAAeSwVzdqiMXd/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Terrence Shannon Jr. Uncommon Oil Spill Refractor #159,Active,08/22/2026 01:26:40 +00:00,08/27/2026 01:26:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/bo0AAeSw1PxqiMbK/$_1.JPG?set_id=8800005007
2025-26 Bowman Leah Macy Chrome Auto Refractor 1st Prospect #/499 Fighting Irish,Active,08/22/2026 01:25:00 +00:00,08/27/2026 01:25:00 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/PqwAAeSww45qiMYU/$_1.JPG?set_id=8800005007
