confidence,card,cond,qty,collx_ask,ebay_sold_for,ebay_date,location,collx_id,ebay_title
High,2025 Travis Sykora #BDC-137,RAW,1,6.25,$2.00,May-24-26,,1015353658193486848,2025 Bowman Draft Sapphire TRAVIS SYKORA #BDC-137 Chrome Nationals
High,2025 Billy Carlson #BDC-10,RAW,1,1.99,$9.00,Apr-18-26,1/2,1014115186021257216,2025 Bowman Draft Billy Carlson #BDC-10 Chrome Sky Blue Refractor White Sox
High,2025 Pico Kohn #BDC-52,RAW,1,1.25,$2.25,May-04-26,1/2,1014115179293593600,2025 Bowman Draft Sapphire PICO KOHN #BDC-52 Chrome 1st Prospect Yankees
High,2025 Josiah Hartshorn #BDC-21,RAW,1,1.5,$9.00,May-22-26,1/2,1014115172574318592,2025 Bowman Draft Sapphire JOSIAH HARTSHORN #BDC-21 Chrome 1st Prospect Cubs
High,2025 Dax Kilby #BDC-146,RAW,1,13.95,$5.00,Apr-21-26,1/2,1014115165175566336,2025 Bowman Draft Dax Kilby #BDC-146 Chrome Mojo Refractor 1st Prospect Yankees
High,2025 Liam Doyle #BDC-12,RAW,1,5.99,$9.49,May-13-26,1/2,1014115154740137984,2025 Bowman Sapphire Liam Doyle #BDC-12 Chrome 1st Prospect Cardinals
High,2025 Pico Kohn #BDC-52,RAW,1,2.95,$2.25,May-04-26,1/2,1014115144002719744,2025 Bowman Draft Sapphire PICO KOHN #BDC-52 Chrome 1st Prospect Yankees
High,2025 Billy Carlson #BDC-10,RAW,1,2.95,$9.00,Apr-18-26,1/2,1014115150940098560,2025 Bowman Draft Billy Carlson #BDC-10 Chrome Sky Blue Refractor White Sox
High,2025 Peter Kussow #BDC-179,RAW,1,2.99,$2.00,May-09-26,1/2,1013996224981092352,2025 Bowman Draft Sapphire PETER KUSSOW #BDC-179 Chrome 1st Prospect Mets
High,2025 Travis Sykora #BD-137,RAW,1,3.95,$2.00,May-24-26,1/2,1013996203204265984,2025 Bowman Draft Sapphire TRAVIS SYKORA #BDC-137 Chrome Nationals
High,2025 Brandon Compton #BDC-64,RAW,1,2.49,$3.25,Jul-07-26,1/2,1013996195872622592,2025 Bowman Draft BRANDON COMPTON #BDC-64 Chrome Sky Blue Ref Marlins Football
High,2025 Malcolm Moore #BD-191,RAW,1,1.25,$1.38,Jun-18-26,1/2,1013996184480892928,2025 Bowman Draft Sapphire MALCOLM MOORE #BDC-191 Chrome Rangers
High,2025 Justin Lamkin #BDC-62,RAW,1,5.95,$2.00,May-30-26,1/2,1013996168987133952,2025 Bowman Draft Sapphire Justin Lamkin Chrome 1st Prospect #BDC-62 Royals
High,2025 Joshua Kuroda-Grauer #BD-125,RAW,1,1.99,$3.25,Jun-18-26,1/2,1013980252459091968,2025 Bowman Draft Joshua Kuroda-Grauer #BD-125 Green Border Athletics #/99
High,2025 Cameron Millar #BD-176,RAW,1,3.99,$19.00,Jun-24-26,1/2,1013980221438019584,2025 Bowman Draft Cameron Millar #BDC-176 Chrome Orange Geometric Refractor /25
High,2025 Caleb Bonemer #BDC-184,RAW,1,6.95,$2.10,Jun-19-26,1/2,1013980225699432448,2025 Bowman Draft CALEB BONEMER #BDC-184 Chrome Sparkle Refractor White Sox
