*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Item number,Custom label (SKU),Start price,ShippingProfileName
Revise,227429830617,Misc-071326-00003-68916,4.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227429830742,Misc-071326-00011-24852,74.19,$15 to $50 Ground
Revise,227429830812,Misc-071326-00010-25062,69.19,$15 to $50 Ground
Revise,227429830829,Misc-071326-00012-50151,79.19,$15 to $50 Ground
Revise,227429830863,Misc-071326-00002-51370,6.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227429830875,Misc-071326-00008-94192,59.19,$15 to $50 Ground
Revise,227431508947,Whatnot-071426-00004-92045,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227431508954,Whatnot-071426-00003-69347,2.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227431508989,Whatnot-071426-00005-74858,5.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227431509002,Whatnot-071426-00006-70611,4.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227431509051,Whatnot-071426-00002-18039,6.49,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227434640903,RBM-0002-00051-74105,5.29,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227435767580,Misc-071726-00004-16432,19.19,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227435855995,Misc-071726-00002-95708,6.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227435856036,Misc-071726-00001-44008,8.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227438445657,,139.19,$15 to $50 Ground
Revise,227440023390,,17.79,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440023457,,4.29,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440023516,MATTSFB-072026-00009-86943,59.19,$15 to $50 Ground
Revise,227440023525,,11.59,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440023585,,5.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440023654,,14.39,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440121176,RA-000080-s8hk9,9.89,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440121867,BAS-002210-necfl,8.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227440124511,,347.19,$15 to $50 Ground
Revise,227440131015,FB-1472-i7a6q,34.19,$15 to $50 Ground
Revise,227440132593,CDP-32D2EDB,38.19,$15 to $50 Ground
Revise,227441638035,RBBB5-0004-00022-38355,405.09,$15 to $50 Ground
Revise,227441643850,DREAMRP-0001-00003-04829,10.19,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227444766665,,33.19,$15 to $50 Ground
Revise,227448957757,FEARWHT-072626-00009-95992,4.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227448957791,FEARWHT-072626-00005-24561,3.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227449022849,KKCWHT-072526-00002-40648,18.19,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227449022869,KKCWHT-072526-00004-23393,30.19,$15 to $50 Ground
Revise,227449170125,KKCWHT-072626-00002-64119,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449170130,KKCWHT-072626-00003-11411,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449170132,KKCWHT-072626-00008-59423,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449170133,KKCWHT-072626-00007-77081,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274414,KKCWHT-072626-00027-00236,2.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227449274419,KKCWHT-072626-00012-73870,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274421,KKCWHT-072626-00020-33205,2.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227449274422,KKCWHT-072626-00010-91764,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274424,KKCWHT-072626-00014-16132,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274472,KKCWHT-072626-00025-32252,2.99,"Flat: US_eBayStandardEnvelope $.99, 2 busines (315934471021)"
Revise,227449274490,KKCWHT-072626-00026-18357,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274505,KKCWHT-072626-00019-73495,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274528,KKCWHT-072626-00013-94684,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
Revise,227449274658,KKCWHT-072626-00011-91703,2.49,"Calculated: US_eBayStandardEnvelope free, 2 bu (315021080021)"
