Action,ItemID,EndingReason
End,226948323604,NotAvailable
End,226948323615,NotAvailable
End,226948323665,NotAvailable
End,226948323687,NotAvailable
End,226948323693,NotAvailable
End,226948323704,NotAvailable
End,226948323712,NotAvailable
End,226948323725,NotAvailable
End,226948323768,NotAvailable
End,226948323784,NotAvailable
End,226951048631,NotAvailable
End,226951102447,NotAvailable
End,226951102543,NotAvailable
End,226951102668,NotAvailable
End,226951102773,NotAvailable
End,226952851187,NotAvailable
End,226952851270,NotAvailable
End,226952851414,NotAvailable
End,226952851587,NotAvailable
End,226952851818,NotAvailable
End,226952852010,NotAvailable
End,226952852192,NotAvailable
End,226953319563,NotAvailable
End,226955091586,NotAvailable
End,226956851267,NotAvailable
End,226956855160,NotAvailable
End,226956860350,NotAvailable
End,226956871743,NotAvailable
End,226961902868,NotAvailable
End,226965094900,NotAvailable
End,226965104710,NotAvailable
End,226966408960,NotAvailable
End,226966409023,NotAvailable
End,226969799878,NotAvailable
End,226969799938,NotAvailable
End,226969799943,NotAvailable
End,226969800029,NotAvailable
End,226969800062,NotAvailable
End,226969800101,NotAvailable
End,226969800156,NotAvailable
End,226969800177,NotAvailable
End,226969800250,NotAvailable
End,226969800270,NotAvailable
End,226969800276,NotAvailable
End,226969800324,NotAvailable
End,226969800334,NotAvailable
End,226969800359,NotAvailable
End,226969800388,NotAvailable
End,226969800401,NotAvailable
End,226969800417,NotAvailable
End,226969800463,NotAvailable
End,226969800621,NotAvailable
End,226969800808,NotAvailable
End,226969800832,NotAvailable
End,226969800845,NotAvailable
End,226969800892,NotAvailable
End,226969800901,NotAvailable
End,226969899818,NotAvailable
End,226969899826,NotAvailable
End,226969899849,NotAvailable
End,226969899898,NotAvailable
End,226969899916,NotAvailable
End,226969899956,NotAvailable
End,226969899977,NotAvailable
End,226969899993,NotAvailable
End,226969900011,NotAvailable
End,226969900060,NotAvailable
End,226969900078,NotAvailable
End,226969900095,NotAvailable
End,226970002587,NotAvailable
End,226970002674,NotAvailable
End,226970002697,NotAvailable
End,226970002701,NotAvailable
End,226970002721,NotAvailable
End,226970002727,NotAvailable
End,226970002768,NotAvailable
End,226970002773,NotAvailable
End,226970002796,NotAvailable
End,226970002806,NotAvailable
End,226970002818,NotAvailable
End,226970002831,NotAvailable
End,226970002841,NotAvailable
End,226970002868,NotAvailable
End,226970002886,NotAvailable
End,226970003007,NotAvailable
End,226970003024,NotAvailable
End,226970003040,NotAvailable
End,226970003051,NotAvailable
End,226970003065,NotAvailable
End,226970003079,NotAvailable
End,226970003101,NotAvailable
End,226970003124,NotAvailable
End,226970003133,NotAvailable
End,226970003166,NotAvailable
End,226970003284,NotAvailable
End,226970003295,NotAvailable
End,226970003309,NotAvailable
End,226970003319,NotAvailable
End,226970003332,NotAvailable
End,226970003360,NotAvailable
End,226970003365,NotAvailable
End,226970003387,NotAvailable
End,226970003393,NotAvailable
End,226970003420,NotAvailable
End,226970003430,NotAvailable
End,226970003460,NotAvailable
End,226970003461,NotAvailable
End,226970003490,NotAvailable
End,226970003494,NotAvailable
End,226970003519,NotAvailable
End,226970154858,NotAvailable
End,226970155173,NotAvailable
End,226970155269,NotAvailable
End,226970155295,NotAvailable
End,226970155320,NotAvailable
End,226970155368,NotAvailable
End,226970155379,NotAvailable
End,226970155436,NotAvailable
End,226970155487,NotAvailable
End,226970155594,NotAvailable
End,226970155612,NotAvailable
End,226970155670,NotAvailable
End,226970155677,NotAvailable
End,226970155747,NotAvailable
End,226970155753,NotAvailable
End,226970155785,NotAvailable
End,226970155818,NotAvailable
End,226970155831,NotAvailable
End,226970155882,NotAvailable
End,226970155883,NotAvailable
End,226970155934,NotAvailable
End,226970155978,NotAvailable
End,226970155991,NotAvailable
End,226970156044,NotAvailable
End,226970156063,NotAvailable
End,226971278328,NotAvailable
End,226971278393,NotAvailable
End,226971278413,NotAvailable
End,226971278425,NotAvailable
End,226971278479,NotAvailable
End,226971278484,NotAvailable
End,226971278517,NotAvailable
End,226971278525,NotAvailable
End,226971278581,NotAvailable
End,226971278605,NotAvailable
End,226971278616,NotAvailable
End,226971522844,NotAvailable
End,226971522892,NotAvailable
End,226971522941,NotAvailable
End,226971522947,NotAvailable
End,226971522975,NotAvailable
End,226971522978,NotAvailable
End,226971522998,NotAvailable
End,226971523023,NotAvailable
End,226971523052,NotAvailable
End,226971523076,NotAvailable
End,226971523077,NotAvailable
End,226971523115,NotAvailable
End,226971523135,NotAvailable
End,226971523171,NotAvailable
End,226971523172,NotAvailable
End,226971523213,NotAvailable
End,226971523242,NotAvailable
End,226971523339,NotAvailable
End,226971523357,NotAvailable
End,226971523375,NotAvailable
End,226971523400,NotAvailable
End,226971523410,NotAvailable
End,226971523453,NotAvailable
End,226971523456,NotAvailable
End,226971523473,NotAvailable
End,226971523674,NotAvailable
End,226971523698,NotAvailable
End,226971523722,NotAvailable
End,226971523736,NotAvailable
End,226971523740,NotAvailable
End,226971523780,NotAvailable
End,226971639060,NotAvailable
End,226971639122,NotAvailable
End,226971639151,NotAvailable
End,226971639185,NotAvailable
End,226971639199,NotAvailable
End,226971639222,NotAvailable
End,226971639259,NotAvailable
End,226971639332,NotAvailable
End,226971639368,NotAvailable
End,226971639388,NotAvailable
End,226971639412,NotAvailable
End,226971639417,NotAvailable
End,226971639438,NotAvailable
End,226972836596,NotAvailable
End,226972836624,NotAvailable
End,226972836669,NotAvailable
End,226972836699,NotAvailable
End,226972836700,NotAvailable
End,226972836746,NotAvailable
End,226972836754,NotAvailable
End,226972836785,NotAvailable
End,226972836820,NotAvailable
End,226972836856,NotAvailable
End,226972836878,NotAvailable
End,226972836888,NotAvailable
End,226972836928,NotAvailable
End,226972836939,NotAvailable
End,226972836969,NotAvailable
End,226972836974,NotAvailable
End,226972836997,NotAvailable
End,226972837018,NotAvailable
End,226972837053,NotAvailable
End,226972837246,NotAvailable
End,226972837271,NotAvailable
End,226973091589,NotAvailable
End,226973091611,NotAvailable
End,226973091667,NotAvailable
End,226973091684,NotAvailable
