TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2023-24 Panini Prizm Draft Picks Victor Wembanyama RC Silver Rookie #2 USA,$37.99,$5.93,$32.06,04/01/2026 13:34:37 +00:00,$513.83
Sale,2018 Topps Diamond Icons Ivan Rodriguez Jersey Auto Red #/5,$94.00,$13.21,$80.79,04/01/2026 15:00:06 +00:00,$594.62
Sale,2023 Panini Black Christian Gonzalez RC Sapphire Rookie #/35 Patriots,$13.50,$3.42,$10.08,04/01/2026 15:21:51 +00:00,$604.70
Payout,Requested payout via ACH,-$604.70,$0.00,-$604.70,04/01/2026 15:39:50 +00:00,$0.00
Sale,2025 Bowman Draft Griffin Hugus Chrome Auto Aqua Lava Refractor 1st #/199,$14.50,$3.60,$10.90,04/02/2026 00:30:06 +00:00,$10.90
Sale,2025 Topps Cosmic Chrome Alex Bregman Gold Interstellar Refractor #/50 Red Sox,$13.50,$3.42,$10.08,04/02/2026 01:46:57 +00:00,$20.98
Sale,2025 Bowman Draft Tim Piasentin Chrome Auto HTA Choice Refractor 1st #/150,$27.00,$4.50,$22.50,04/03/2026 03:00:27 +00:00,$43.48
Sale,2025 Topps Cosmic Chrome Kristian Campbell RC Purple Nebula Refractor #/150,$8.50,$2.69,$5.81,04/04/2026 22:00:15 +00:00,$49.29
Sale,2025-26 Topps Finest Cooper Flagg Common RC Rookie #1 Mavericks,$22.50,$5.04,$17.46,04/06/2026 01:01:32 +00:00,$66.75
Sale,2025-26 Topps Midnight Joan Beringer Sun RC Moonrise Auto #/25 Rookie,$39.00,$6.06,$32.94,04/06/2026 02:05:38 +00:00,$99.69
Sale,2025 Bowman Draft Dominick Reid Chrome Orange Geometric Refractor 1st #/25 Cubs,$10.02,$2.79,$7.23,04/06/2026 02:06:36 +00:00,$106.92
Sale,2025 Panini Prizm Draft Picks Eric Dickerson Silver #193 Mustangs CGC 10,$11.50,$3.06,$8.44,04/06/2026 06:46:02 +00:00,$115.36
Sale,2024-25 Panini Mosaic Ausar Thompson White Mosaic #/25 Pistons,$13.50,$3.42,$10.08,04/07/2026 00:15:59 +00:00,$125.44
Payout,Requested payout via ACH,-$125.44,$0.00,-$125.44,04/07/2026 15:48:07 +00:00,$0.00
Sale,2023-24 Panini Donruss Amen Thompson Rated Rookie Choice RC Auto #253 Rockets,$69.02,$9.96,$59.06,04/17/2026 01:15:17 +00:00,$59.06
Payout,Requested payout via ACH,-$59.06,$0.00,-$59.06,04/17/2026 01:20:13 +00:00,$0.00
Sale,2025-26 Topps Finest Kon Knueppel First RC X-Fractor Rookie #F-4 Hornets,$52.00,$7.75,$44.25,04/19/2026 00:45:12 +00:00,$44.25
Sale,2025 Bowman Draft JJ Wetherholt Chrome Yellow Geometric Refractor #/75 Cardinals,$49.00,$7.36,$41.64,04/19/2026 00:56:57 +00:00,$85.89
Sale,2025 Bowman Chrome Rainiel Rodriguez Purple Geometric Refractor 1st #/250 PSA 10,$89.00,$12.56,$76.44,04/19/2026 01:43:18 +00:00,$162.33
Sale,2021 Topps Sterling Yordan Alvarez Swings Jersey Auto #/25 Astros,$71.00,$10.22,$60.78,04/19/2026 01:45:46 +00:00,$223.11
Sale,2025 Bowman Draft JoJo Parker Chrome Purple Geometric Refractor 1st #/250,$40.00,$6.19,$33.81,04/19/2026 02:01:33 +00:00,$256.92
Sale,2025 Bowman Draft Ethan Conrad Green Border 1st Prospect #/99 Cubs,$15.50,$3.78,$11.72,04/19/2026 02:05:05 +00:00,$268.64
Sale,2025 Bowman Draft Nolan Sailors Chrome Auto 1st Prospect #CPA-NSA Royals,$12.50,$3.24,$9.26,04/19/2026 02:05:08 +00:00,$277.90
Sale,2025 Bowman Chrome Mega Box Jesus Made Prospects Pink Refractor #/199 PSA 10,$122.50,$16.91,$105.59,04/19/2026 15:00:37 +00:00,$383.49
Sale,2024 Topps Anthony Volpe Team Color Border Variation #180 Yankees,$8.51,$2.69,$5.82,04/19/2026 19:00:35 +00:00,$389.31
Sale,2025 Bowman's Best JJ Wetherholt Top Prospects Purple Lazer Refractor #/250,$12.51,$3.24,$9.27,04/20/2026 01:00:13 +00:00,$398.58
Sale,2025 Bowman Draft Jacob Reimer Chrome Yellow Geometric Refractor #/75 Mets,$3.76,$1.74,$2.02,04/20/2026 01:32:28 +00:00,$400.60
Sale,2025-26 Topps Chrome Cactus Jack x NBA All-Star Tyrese Proctor RC Black #/10,$42.00,$6.45,$35.55,04/20/2026 01:42:13 +00:00,$436.15
Payout,Requested payout via ACH,-$436.15,$0.00,-$436.15,04/20/2026 03:36:17 +00:00,$0.00
Sale,2025 Topps Cosmic Chrome Jose Altuve Aqua Equinox Refractor #/199 Astros,$6.50,$2.29,$4.21,04/20/2026 04:15:53 +00:00,$4.21
Sale,2025 Topps Cosmic Chrome Paul Skenes Stella Nova #SN-9 Pirates,$17.02,$4.05,$12.97,04/20/2026 10:49:15 +00:00,$17.18
Sale,2026 Topps Aaron Judge Purple Rainbow Foil #/250 Yankees,$20.50,$4.68,$15.82,04/21/2026 02:02:10 +00:00,$33.00
Sale,2025 Bowman Draft Felnin Celesten Chrome Yellow Reptilian Refractor #/75,$7.50,$2.49,$5.01,04/23/2026 15:45:11 +00:00,$38.01
Sale,2025 Topps Cosmic Chrome Pete Crow-Armstrong Planetary Pursuit Mercury #PPM-9,$63.50,$9.24,$54.26,04/24/2026 13:34:49 +00:00,$92.27
