Item number,Title,Current price
FBrelist-080426-0597,RONDALE MOORE 2021 Panini Select #158 Arizona Cardinals Football,3.49
FBrelist-080426-0598,COREY DAVIS 2017 Panini Illusions #MY-4 Mystique Tennessee Titans Football,3.99
FBrelist-080426-0599,JARED GOFF 2024 Panini Mosaic #71 Mosaic Reactive Blue Detroit Lions Football,4.49
FBrelist-080426-0600,XAVIER WORTHY 2024 Panini Mosaic #328 Silver Kansas City Chiefs Football,4.49
FBrelist-080426-0601,BUCKY IRVING 2024 Panini Instant Nfl Spotlight Rookies #SR-9 Buccaneers RC,3.99
FBrelist-080426-0602,DAK PRESCOTT 2024 Panini Mosaic #253 Dallas Cowboys Football,4.49
FBrelist-080426-0603,MALIK WILLIS 2024 Panini Select #180 Silver Prizm Die Cut Green Bay Packers,3.49
FBrelist-080426-0604,JAYDEN REED 2024 Panini Select #68 Black & Red Prizm Shock Green Bay Packers,3.49
FBrelist-080426-0605,BO JACKSON 2021 Panini Mosaic #WW-20 Will to Win Los Angeles Raiders Football,3.49
FBrelist-080426-0606,BAKER MAYFIELD 2024 Panini Select #108 Silver Prizm Die Cut Tampa Bay Buccaneers,3.99
FBrelist-080426-0607,CEEDEE LAMB 2024 Panini Phoenix #21 Purple Dallas Cowboys Football,3.99
FBrelist-080426-0608,2024 Panini ROOKIES & Stars J.J. McCarthy #RR-JMY Rookie Rush Minnesota Vikings,4.49
FBrelist-080426-0609,TEE HIGGINS 2020 Panini Illusions #21 Cincinnati Bengals Football,3.49
FBrelist-080426-0610,JOSH ALLEN 2024 Panini Mosaic #254 Buffalo Bills Football,2.29
FBrelist-080426-0611,MICAH PARSONS 2022 Panini Select Draft Picks #85 Blue Penn State Nittany Lions,3.49
FBrelist-080426-0612,JOSH ALLEN 2022 Panini Select Draft Picks #100 Blue Wyoming Cowboys Football,1.99
FBrelist-080426-0613,BRETT FAVRE 2022 Panini Select Draft Picks #51 Blue Golden Eagles Football,3.49
FBrelist-080426-0614,TREVOR LAWRENCE 2021 Panini Chronicles #47 Jacksonville Jaguars Football,3.99
FBrelist-080426-0615,ANTHONY MILLER 2018 Panini Playoff #15 Rookie Wave Chicago Bears RC Football,3.99
FBrelist-080426-0616,TUA TAGOVAILOA 2020 Panini Chronicles #442 2020 Score Update Rookies Dolphins RC,3.99
FBrelist-080426-0617,XAVIER WORTHY 2024 Donruss #VOR-XWO Vortex Kansas City Chiefs Football,3.99
FBrelist-080426-0618,MICHAEL PENIX JR. 2024 Donruss #VOR-MPJ Vortex Atlanta Falcons Football,3.99
FBrelist-080426-0619,XAVIER LEGETTE 2024 Finest #DYN-12 Dynamos Carolina Panthers Football,3.99
FBrelist-080426-0620,CAMERON JORDAN 2024 Panini Select #16 Red & Blue Prizm Shock New Orleans Saints,3.99
FBrelist-080426-0621,TREVOR LAWRENCE 2021 Panini Chronicles #STS-TLR Stars and Stripes Jaguars,3.99
FBrelist-080426-0622,TOM BRADY 2021 Panini Prestige #184 Tampa Bay Buccaneers Football,4.49
FBrelist-080426-0623,DEION SANDERS 1992 Upper Deck #567 Atlanta Falcons Football,2.99
FBrelist-080426-0624,JAYLEN WADDLE 2023 Panini Prizm #185 Green Miami Dolphins Football,3.99
FBrelist-080426-0625,BRETT FAVRE 2019 Donruss #AGK-4 All-Time Gridiron Kings Green Bay Packers,3.99
FBrelist-080426-0626,LAMAR JACKSON 2024 Donruss #1 Retro 2004 Baltimore Ravens Football,3.99
FBrelist-080426-0627,BO JACKSON 1990 Score #1 Los Angeles Raiders Football,2.99
FBrelist-080426-0628,XAVIER LEGETTE 2024 Donruss Optic #299 Pink Carolina Panthers Football,4.49
FBrelist-080426-0629,BUCKY IRVING 2024 Donruss #301 Press Proof Blue Tampa Bay Buccaneers Football,4.49
FBrelist-080426-0630,JALEN HURTS 2024 Donruss #21 Best of Panini Instant Philadelphia Eagles Football,4.49
FBrelist-080426-0631,TRAVIS HUNTER 2025 Score #5 Anniversary Rookies Jacksonville Jaguars RC Football,3.49
FBrelist-080426-0632,JERRY JEUDY 2022 Panini Mosaic #60 Mosaic Reactive Orange Denver Broncos,3.99
FBrelist-080426-0633,ZAMIR WHITE 2022 Panini Illusions #M-23 Mystique Emerald Las Vegas Raiders,3.99
FBrelist-080426-0634,2021 CLEARLY Donruss Saquon Barkley #37 New York Giants Football,3.99
FBrelist-080426-0635,ENCORE KYREN WILLIAMS 2024 Panini #116 Los Angeles Rams Football,3.99
FBrelist-080426-0636,KYLE TUCKER 2024 Topps Chrome #112 Purple Ref Houston Astros #/250 Football,3.99
FBrelist-080426-0637,NOLAN GORMAN 2024 Topps Chrome #97 Blue Raywave Ref Cardinals #/150 Football,3.49
FBrelist-080426-0638,PAUL GOLDSCHMIDT 2024 Topps Chrome #90 Purple Sonar Ref Cardinals #/275 Football,4.49
FBrelist-080426-0639,WILLIE MAYS 2024 Topps Update #AC-6 All Class San Francisco Giants Football,3.99
FBrelist-080426-0640,TYLER O'NEILL 2018 Topps Update #US218 St. Louis Cardinals Football,3.49
FBrelist-080426-0641,FRANK GORE 2023 Panini Mosaic #TL-FG Thunder Lane Mosaic San Francisco 49ers,3.99
FBrelist-080426-0642,TRAVIS KELCE 2021 Panini Contenders #49 Kansas City Chiefs Football,3.49
FBrelist-080426-0643,KYLE TUCKER 2019 Bowman #94 Houston Astros Football,3.99
