Action,ItemID,EndingReason
End,227001678091,NotAvailable
End,227008414427,NotAvailable
End,227008414431,NotAvailable
End,227008414511,NotAvailable
End,227008414522,NotAvailable
End,227008414594,NotAvailable
End,227008414606,NotAvailable
End,227008414684,NotAvailable
End,227008414698,NotAvailable
End,227008414785,NotAvailable
End,227008414861,NotAvailable
End,227008414900,NotAvailable
End,227008414982,NotAvailable
End,227008415020,NotAvailable
End,227008415054,NotAvailable
End,227008415116,NotAvailable
End,227008415130,NotAvailable
End,227008415195,NotAvailable
End,227008415267,NotAvailable
End,227008415269,NotAvailable
End,227008415303,NotAvailable
End,227009745473,NotAvailable
End,227009745510,NotAvailable
End,227009745596,NotAvailable
End,227009745625,NotAvailable
End,227009745687,NotAvailable
End,227009745726,NotAvailable
End,227009745767,NotAvailable
End,227009745784,NotAvailable
End,227009746024,NotAvailable
End,227009746034,NotAvailable
End,227009746067,NotAvailable
End,227009746080,NotAvailable
End,227009746124,NotAvailable
End,227009746227,NotAvailable
End,227009746235,NotAvailable
End,227009746283,NotAvailable
End,227009746284,NotAvailable
End,227009746525,NotAvailable
End,227009746576,NotAvailable
End,227009746633,NotAvailable
End,227009746644,NotAvailable
End,227009746668,NotAvailable
End,227009746919,NotAvailable
End,227022350435,NotAvailable
End,227023531262,NotAvailable
End,227023531322,NotAvailable
End,227023531379,NotAvailable
End,227023531415,NotAvailable
End,227023531505,NotAvailable
End,227023531527,NotAvailable
End,227023531560,NotAvailable
End,227023531607,NotAvailable
End,227023531615,NotAvailable
End,227023531666,NotAvailable
End,227023531699,NotAvailable
End,227023536997,NotAvailable
End,227023537061,NotAvailable
End,227023575819,NotAvailable
End,227023575939,NotAvailable
End,227023575984,NotAvailable
End,227036682443,NotAvailable
End,227036682448,NotAvailable
End,227036682451,NotAvailable
End,227036682452,NotAvailable
End,227036682453,NotAvailable
End,227036682455,NotAvailable
End,227036682459,NotAvailable
End,227036682460,NotAvailable
End,227041475882,NotAvailable
End,227044272948,NotAvailable
End,227044273057,NotAvailable
End,227052846488,NotAvailable
End,227052846501,NotAvailable
End,227052846535,NotAvailable
End,227052846555,NotAvailable
End,227052846583,NotAvailable
End,227054679128,NotAvailable
End,227055905749,NotAvailable
End,227064072380,NotAvailable
End,227064081093,NotAvailable
End,227082742859,NotAvailable
End,227082742999,NotAvailable
End,227082743158,NotAvailable
End,227082743164,NotAvailable
End,227082743370,NotAvailable
End,227082743371,NotAvailable
End,227082743410,NotAvailable
End,227082743631,NotAvailable
End,227082743884,NotAvailable
End,227082744046,NotAvailable
End,227110061739,NotAvailable
End,227110197451,NotAvailable
End,227110197455,NotAvailable
End,227110197505,NotAvailable
End,227110197531,NotAvailable
End,227124437064,NotAvailable
End,227124437109,NotAvailable
End,227124437279,NotAvailable
End,227126513398,NotAvailable
End,227126513608,NotAvailable
End,227128108208,NotAvailable
End,227128108215,NotAvailable
End,227128108369,NotAvailable
End,227128108504,NotAvailable
End,227128108510,NotAvailable
End,227128108630,NotAvailable
End,227128108651,NotAvailable
End,227128108768,NotAvailable
End,227129088887,NotAvailable
End,227129401756,NotAvailable
End,227129401770,NotAvailable
End,227129401812,NotAvailable
End,227129401829,NotAvailable
End,227129401838,NotAvailable
End,227129401843,NotAvailable
End,227129401874,NotAvailable
End,227129401994,NotAvailable
End,227129588762,NotAvailable
End,227144106316,NotAvailable
End,227144106353,NotAvailable
End,227187420344,NotAvailable
End,227187764394,NotAvailable
End,227187764405,NotAvailable
End,227187764409,NotAvailable
